factor,trade_date,correlation
close,2010-01-31,-0.108064121854187
close,2010-02-28,0.0043216010896557008
close,2010-03-31,0.035456763525476935
close,2010-04-30,-0.0317807650733248
close,2010-05-31,-0.097706699696176763
close,2010-06-30,-0.0043749558679355904
close,2010-07-31,0.050849788034963289
close,2010-08-31,-0.060196018505664847
close,2010-09-30,-0.009910573992661393
close,2010-10-31,0.082955802397176676
close,2010-11-30,-0.049610517637925303
close,2010-12-31,0.097328586600562372
close,2011-01-31,0.092357315685459546
close,2011-02-28,-0.094781105574219898
close,2011-03-31,0.018305727490317596
close,2011-04-30,-0.0056954843230029289
close,2011-05-31,-0.020168314536309326
close,2011-06-30,-0.082876318201444393
close,2011-07-31,-0.017291108172784429
close,2011-08-31,-0.055001935640544862
close,2011-09-30,-0.0016115379611891377
close,2011-10-31,0.06602123413840684
close,2011-11-30,-0.067004892303126798
close,2011-12-31,0.046726389213520056
close,2012-01-31,-0.045909701805485051
close,2012-02-29,0.039436687734206187
close,2012-03-31,-0.054928450099823257
close,2012-04-30,-0.12646397691381089
close,2012-05-31,-0.0073518551420451179
close,2012-06-30,-0.0012700333271662822
close,2012-07-31,-0.025626452846932934
close,2012-08-31,0.037709021511826125
close,2012-09-30,-0.10448188397926784
close,2012-10-31,0.016437798784615279
close,2012-11-30,0.033703828307304326
close,2012-12-31,-0.034305193363822567
close,2013-01-31,-0.036175011611999375
close,2013-02-28,-0.030223276686882565
close,2013-03-31,-0.07179068718838634
close,2013-04-30,0.032319140282880153
close,2013-05-31,-0.061477901010727899
close,2013-06-30,0.033821630352880848
close,2013-07-31,-0.0034059921267849394
close,2013-08-31,0.060473091320530102
close,2013-09-30,0.17435814855313711
close,2013-10-31,-0.0022694459409835187
close,2013-11-30,-0.057956962425227188
close,2013-12-31,0.029301719459368478
close,2014-01-31,0.12012487652988638
close,2014-02-28,0.0028893063048061173
close,2014-03-31,-0.13840486949555234
close,2014-04-30,-0.045372320017055788
close,2014-05-31,-0.013018619945191511
close,2014-06-30,-0.014832905371809349
close,2014-07-31,-0.054786862197360772
close,2014-08-31,-0.006625699793273398
close,2014-09-30,0.0044058444244031159
close,2014-10-31,-0.011742258226025605
close,2014-11-30,0.0030663837221036453
close,2014-12-31,0.099799831246988185
close,2015-01-31,-0.067831501374472428
close,2015-02-28,-0.039569471717877211
close,2015-03-31,-0.093260403159342406
close,2015-04-30,0.033746259184095323
close,2015-05-31,-0.027642313707779444
close,2015-06-30,-0.11265070951297566
close,2015-07-31,0.069110526158462846
close,2015-08-31,0.037331658825210008
close,2015-09-30,0.011861199456179064
close,2015-10-31,0.015354041047889932
close,2015-11-30,0.26460245857376569
close,2015-12-31,0.00087078163813760357
close,2016-01-31,0.015464547892060405
close,2016-02-29,-0.088751744125400753
close,2016-03-31,-0.023236632781680477
close,2016-04-30,-0.030104699655118371
close,2016-05-31,0.064393812438660922
close,2016-06-30,0.032930371252938601
close,2016-07-31,0.043351527428397867
close,2016-08-31,-0.033883763323578925
close,2016-09-30,-0.045112852403633434
close,2016-10-31,-0.050286298844695869
close,2016-11-30,0.01443232469747382
close,2016-12-31,0.020640414628892628
profit_ttm_to_mkt_cap_ard,2010-01-31,-0.0099860473051759883
profit_ttm_to_mkt_cap_ard,2010-02-28,-0.11133290300846928
profit_ttm_to_mkt_cap_ard,2010-03-31,-0.095068182393669792
profit_ttm_to_mkt_cap_ard,2010-04-30,0.074853631758706143
profit_ttm_to_mkt_cap_ard,2010-05-31,0.0094079787156158071
profit_ttm_to_mkt_cap_ard,2010-06-30,-0.038886827572419
profit_ttm_to_mkt_cap_ard,2010-07-31,-0.07074611208684603
profit_ttm_to_mkt_cap_ard,2010-08-31,-0.055871865763208399
profit_ttm_to_mkt_cap_ard,2010-09-30,-0.078639601426563066
profit_ttm_to_mkt_cap_ard,2010-10-31,0.047017586315141503
profit_ttm_to_mkt_cap_ard,2010-11-30,-0.11830930810221471
profit_ttm_to_mkt_cap_ard,2010-12-31,0.064887132334900149
profit_ttm_to_mkt_cap_ard,2011-01-31,-0.025106332868793563
profit_ttm_to_mkt_cap_ard,2011-02-28,0.12610761680990693
profit_ttm_to_mkt_cap_ard,2011-03-31,-0.074705974586170842
profit_ttm_to_mkt_cap_ard,2011-04-30,0.071200170191819692
profit_ttm_to_mkt_cap_ard,2011-05-31,-0.0017838716567299389
profit_ttm_to_mkt_cap_ard,2011-06-30,-0.045025436330970448
profit_ttm_to_mkt_cap_ard,2011-07-31,-0.023100852642996373
profit_ttm_to_mkt_cap_ard,2011-08-31,-0.047096261151970881
profit_ttm_to_mkt_cap_ard,2011-09-30,-0.045264195988057636
profit_ttm_to_mkt_cap_ard,2011-10-31,-0.030202186211490525
profit_ttm_to_mkt_cap_ard,2011-11-30,0.0088449354381729944
profit_ttm_to_mkt_cap_ard,2011-12-31,0.055570958078789756
profit_ttm_to_mkt_cap_ard,2012-01-31,-0.086507907094347164
